gene_id state1_rep1 state1_rep2 state2_rep1 state2_rep2
ECDH10B_0100 435 1049 2352 1294
ECDH10B_0101 246 1042 2004 1036
ECDH10B_0102 185 528 958 774
ECDH10B_0103 328 315 352 399
ECDH10B_0104 166 1160 1506 707
ECDH10B_0105 522 1056 1991 886
ECDH10B_0106 710 1736 5142 2694
ECDH10B_0107 88 382 986 325
ECDH10B_0108 116 401 651 95
ECDH10B_0109 27 115 208 89
ECDH10B_0110 471 559 1713 773
ECDH10B_0111 766 740 2594 976
ECDH10B_0112 87 258 407 241
ECDH10B_0113 835 862 1436 682
ECDH10B_0114 346 586 814 448
ECDH10B_0115 10 52 31 51
ECDH10B_0116 0 8 0 0
ECDH10B_0117 10 22 1 0
ECDH10B_0118 0 0 32 0
ECDH10B_0119 9 98 71 11
ECDH10B_0120 13 45 27 5
ECDH10B_0121 0 20 38 9
ECDH10B_0122 59 155 566 198
ECDH10B_0123 467 1315 3603 1613
ECDH10B_0124 100 56 315 133
ECDH10B_0125 2252 1870 3585 2371
ECDH10B_0126 360 302 633 334
ECDH10B_0127 59 72 213 103
ECDH10B_0128 179 607 948 344
ECDH10B_0129 579 867 2410 1285
ECDH10B_0130 229 271 4308 2069
ECDH10B_0131 67 17 158 48
ECDH10B_0132 36 28 185 57
ECDH10B_0133 82 454 715 158
ECDH10B_0134 668 870 1398 572
ECDH10B_0135 225 285 421 180
ECDH10B_0136 104 279 2031 737
ECDH10B_0137 66 253 833 375
ECDH10B_0138 89 141 441 114
ECDH10B_0139 530 985 1927 933
ECDH10B_0140 189 369 588 291
ECDH10B_0141 401 906 2792 782
ECDH10B_0142 137 444 724 162
ECDH10B_0143 554 400 659 282
ECDH10B_0144 104 180 378 113
ECDH10B_0145 1010 1021 2331 1487
ECDH10B_0146 421 647 1209 398
ECDH10B_0147 570 1079 3062 1966
ECDH10B_0149 5828 9980 23168 12361
ECDH10B_0150 3237 6413 13822 11702
ECDH10B_0151 495 2003 2567 650
ECDH10B_0152 750 1484 4067 2178
ECDH10B_0153 264 558 1110 520
ECDH10B_0154 361 2351 3168 1558
ECDH10B_0155 455 1541 2548 1141
ECDH10B_0156 877 2289 5067 1672
ECDH10B_0157 2132 6378 15413 5824
ECDH10B_0158 1565 3398 8201 5499
ECDH10B_0159 893 2656 8005 2402
ECDH10B_0160 663 1400 3637 1906
ECDH10B_0161 931 1269 3805 1395
ECDH10B_0162 415 1688 2657 1521
ECDH10B_0163 229 749 1100 865
ECDH10B_0164 778 3486 7379 3718
ECDH10B_0165 839 2021 4799 3178
ECDH10B_0166 145 453 717 276
ECDH10B_0167 63 122 358 136
ECDH10B_0168 190 332 818 359
ECDH10B_0169 117 108 425 156
ECDH10B_0170 222 136 266 149
ECDH10B_0171 202 245 476 192
ECDH10B_0172 144 354 390 430
ECDH10B_0173 134 370 565 217
ECDH10B_0174 68 215 316 163
ECDH10B_0175 1805 2943 5843 3143
ECDH10B_0176 168 244 505 290
ECDH10B_0177 188 350 851 592
ECDH10B_0178 638 602 1818 1327
ECDH10B_0179 151 346 867 399
ECDH10B_0180 43 326 835 296
ECDH10B_0181 407 706 1335 605
ECDH10B_0182 15 23 65 7
ECDH10B_0183 0 0 0 1
ECDH10B_0184 0 46 55 21
ECDH10B_0185 393 581 1111 474
ECDH10B_0186 0 0 0 0
ECDH10B_0187 0 6 0 0
ECDH10B_0188 76 154 280 109
ECDH10B_0189 69 164 182 94
ECDH10B_0190 380 165 629 271
ECDH10B_0191 66 138 188 104
ECDH10B_0192 556 3288 4523 2696
ECDH10B_0193 51 238 334 125
ECDH10B_0194 224 666 657 479
ECDH10B_0195 208 475 519 296
ECDH10B_0196 170 179 884 392
ECDH10B_0197 3 19 126 20
ECDH10B_0198 47 70 242 53
ECDH10B_0199 57 35 47 0
ECDH10B_0200 117 119 114 102
ECDH10B_0201 300 199 575 340
ECDH10B_0202 200 74 493 284
ECDH10B_0203 37 71 611 283
ECDH10B_0204 598 423 1446 789
ECDH10B_0205 352 830 1733 582
ECDH10B_0206 572 1677 3626 1123
ECDH10B_0207 70 54 202 160
ECDH10B_0208 134 222 645 506
ECDH10B_0209 1 27 56 19
ECDH10B_0210 27 0 70 29
ECDH10B_0211 26 153 70 26
ECDH10B_0212 0 9 5 6
ECDH10B_0213 117 151 182 147
ECDH10B_0214 0 25 71 23
ECDH10B_0215 27 9 29 55
ECDH10B_0216 17 9 19 12
ECDH10B_0217 0 13 3 0
ECDH10B_0218 81 177 215 67
ECDH10B_0219 1440 2322 4371 1947
ECDH10B_0220 176 188 930 460
ECDH10B_0221 305 591 1137 636
ECDH10B_0222 591 958 4537 3716
ECDH10B_0223 17 181 958 272
ECDH10B_0224 482 577 1068 538
ECDH10B_0225 501 412 1255 555
ECDH10B_0226 73 78 67 41
ECDH10B_0227 47 174 204 90
ECDH10B_0228 41 94 84 38
ECDH10B_0229 0 41 16 11
ECDH10B_0230 25 36 22 47
ECDH10B_0231 99 299 341 151
ECDH10B_0232 109 236 365 54
ECDH10B_0233 37 92 233 130
ECDH10B_0234 9 52 13 48
ECDH10B_0235 12 19 43 15
ECDH10B_0236 0 20 0 0
ECDH10B_0237 37 86 37 67
ECDH10B_0238 56 240 238 55
ECDH10B_0239 51 26 224 44
ECDH10B_0240 13 32 21 14
ECDH10B_0241 14 46 70 53
ECDH10B_0243 66 57 149 58
ECDH10B_0244 79 204 185 89
ECDH10B_0245 1 1 1 0
ECDH10B_0246 0 62 126 15
ECDH10B_0247 108 160 264 126
ECDH10B_0248 68 52 110 42
ECDH10B_0249 0 17 89 0
ECDH10B_0250 0 0 0 0
ECDH10B_0251 0 39 41 11
ECDH10B_0252 82 63 102 114
ECDH10B_0253 41 75 249 100
ECDH10B_0254 0 48 55 21
ECDH10B_0255 1977 1072 7735 2832
ECDH10B_0256 4430 3910 22757 18886
ECDH10B_0257 96 303 1269 662
ECDH10B_0258 194 430 1296 419
ECDH10B_0259 80 197 651 319
ECDH10B_0261 59 143 217 134
ECDH10B_0262 0 7 15 32
ECDH10B_0263 2 4 4 11
ECDH10B_0264 56 146 167 135
ECDH10B_0265 40 129 309 59
ECDH10B_0266 62 85 66 32
ECDH10B_0267 26 31 38 0
ECDH10B_0268 209 249 608 212
ECDH10B_0269 271 145 609 224
ECDH10B_0270 0 25 104 13
ECDH10B_0271 49 35 71 42
ECDH10B_0272 5 54 159 48
ECDH10B_0273 24 0 30 13
ECDH10B_0274 0 0 32 26
ECDH10B_0275 31 11 111 117
ECDH10B_0276 0 28 20 15
ECDH10B_0277 56 33 54 38
ECDH10B_0278 49 101 229 127
ECDH10B_0279 43 81 138 61
ECDH10B_0280 10 3 40 0
ECDH10B_0281 19 81 86 21
ECDH10B_0282 0 18 0 0
ECDH10B_0283 690 52 58 15
ECDH10B_0284 111 17 0 0
ECDH10B_0285 1180 40 41 0
ECDH10B_0286 0 0 12 0
ECDH10B_0287 0 0 0 0
ECDH10B_0288 0 10 10 0
ECDH10B_0289 15 127 54 35
ECDH10B_0290 0 32 28 0
ECDH10B_0291 0 0 15 0
ECDH10B_0292 0 9 0 28
ECDH10B_0293 11 0 38 7
ECDH10B_0294 112 144 35 30
ECDH10B_0295 240 207 41 74
ECDH10B_0296 152 146 93 54
ECDH10B_0297 0 48 11 0
ECDH10B_0298 67 263 377 97
ECDH10B_0299 97 119 341 125
ECDH10B_0300 18 98 223 75
ECDH10B_0301 126 518 846 321
ECDH10B_0302 18 92 65 22
ECDH10B_0303 25 253 184 52
ECDH10B_0304 0 0 0 25
ECDH10B_0305 21 0 8 14
ECDH10B_0306 0 16 10 0
ECDH10B_0307 21 8 6 0
ECDH10B_0308 0 27 43 0
ECDH10B_0309 163 465 700 288
ECDH10B_0310 170 609 2164 395
ECDH10B_0311 340 927 4556 806
ECDH10B_0312 132 359 1726 474
ECDH10B_0313 12 3 56 12
ECDH10B_0315 12 28 12 0
ECDH10B_0316 3 6 23 8
ECDH10B_0317 11 23 69 21
ECDH10B_0319 29 50 102 64
ECDH10B_0320 0 0 0 0
ECDH10B_0321 0 0 23 6
ECDH10B_0322 0 14 0 0
ECDH10B_0323 0 17 59 4
ECDH10B_0324 6 123 218 50
ECDH10B_0325 467 643 1555 1039
ECDH10B_0326 0 0 0 0
ECDH10B_0328 155 288 636 253
ECDH10B_0329 68 30 79 53
ECDH10B_0330 0 17 21 29
ECDH10B_0332 12 25 5 0
ECDH10B_0333 97 98 212 44
ECDH10B_0334 74 157 330 58
ECDH10B_0335 98 203 328 84
ECDH10B_0336 12 100 126 24
ECDH10B_0337 185 235 273 184
ECDH10B_0338 654 741 1139 613
ECDH10B_0339 50 23 60 56
ECDH10B_0340 31 111 76 64
ECDH10B_0341 6 9 216 47
ECDH10B_0342 52 146 315 195
ECDH10B_0343 87 204 447 355
ECDH10B_0344 181 262 662 236
ECDH10B_0345 282 1060 968 496
ECDH10B_0346 79 296 605 398
ECDH10B_0347 36 248 453 78
ECDH10B_0348 683 595 1196 786
ECDH10B_0349 39 115 175 24
ECDH10B_0350 172 265 445 217
ECDH10B_0351 213 192 107 66
ECDH10B_0352 131 100 274 102
ECDH10B_0353 60 423 908 494
ECDH10B_0354 128 179 323 143
ECDH10B_0355 76 120 176 124
ECDH10B_0356 115 164 290 147
ECDH10B_0357 335 1305 1538 338
ECDH10B_0358 229 662 1452 557
ECDH10B_0359 142 290 1370 660
ECDH10B_0360 44 87 853 344
ECDH10B_0361 144 482 1169 740
ECDH10B_0362 1195 2758 5684 2283
ECDH10B_0363 1069 1096 2173 1786
ECDH10B_0364 1162 4448 8687 4363
ECDH10B_0365 520 1317 3136 1791
ECDH10B_0366 319 234 971 539
