"genes"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ECDH10B_3401"	405.395264926765	2.92951448041256	0.706708627267824	3.3175652443293	0.00090805704938222	0.0258276379083828
"ECDH10B_3402"	714.079259682162	3.53326209066498	0.56031927911959	5.26182071510439	1.42635818382375e-07	1.00275671564666e-05
"ECDH10B_3512"	142.903784241564	3.15928386330319	0.866440868525305	2.97114489412713	0.00296691766212421	0.0695266365350617
"ECDH10B_3625"	18.5955613745162	7.1771856155706	2.32539350320343	2.83488498001224	0.0045842187156441	0.0988603610661041
"ECDH10B_3744"	48.529946958726	8.56098907509756	1.85297827690201	4.30443609285668	1.67411608137886e-05	0.000716983507956048
"ECDH10B_4020"	1216.91532235966	3.0142759768788	0.48059772469037	5.05477523374201	4.30897933423218e-07	2.67587616655819e-05
"ECDH10B_4215"	566.574697753511	8.24084237808548	0.798058168274056	9.59313516447246	8.54482681946668e-22	7.95950618233321e-19
"ECDH10B_4216"	51.7411124349403	5.97615338963704	1.59430423249809	3.38153206836095	0.000720828186136012	0.0216597243672805
"ECDH10B_4475"	773.875411376916	3.55048627524756	0.473292366915799	6.26573336445543	3.71074817539475e-10	5.53049908060833e-08
"ECDH10B_4490"	151.727751754728	4.01495105464307	1.10073721886649	3.11608301702928	0.00183270670100158	0.0467716792324102
"ECDH10B_4521"	22.5162956699976	7.45146524952152	2.20015482918146	3.12091797255694	0.0018028824549782	0.046327862256888
"ECDH10B_4522"	771.612367796551	5.09960150181762	0.527035141095313	8.56610622152044	1.07043148222548e-17	4.98553462846519e-15
"ECDH10B_4523"	1935.00392149202	4.69808096868435	0.386691974135252	10.6366791738081	2.01171866381341e-26	2.49855458045625e-23
